encrypt,99,4.7285,20936.8721581897,167494.9772655176,0.0
decrypt,256,4.0631,63006.07910216337,504048.63281730696,0.0
encrypt,99,5.7719,17152.06431157851,137216.51449262808,0.0
decrypt,256,5.7877,44231.73281268898,353853.8625015118,0.0
encrypt,99,5.767,17166.637766603086,137333.1021328247,0.0
decrypt,256,5.5348,46252.800462528,370022.403700224,0.0
encrypt,99,4.7478,20851.762921774294,166814.10337419435,0.0
decrypt,256,5.9158,43273.94435241219,346191.5548192975,0.0
encrypt,99,5.575,17757.847533632288,142062.7802690583,0.0
decrypt,256,4.6117,55510.982934709544,444087.86347767635,0.0
