encrypt,99,863.9263620584485,6911.410896467588,0.0
decrypt,99,6911.410896467588,6911.410896467588,0.0
encrypt,99,1430.0840571629153,11440.672457303323,0.0
decrypt,99,11440.672457303323,11440.672457303323,0.0
encrypt,99,5042.479066071756,40339.83252857405,0.0
decrypt,99,40339.83252857405,40339.83252857405,0.0
encrypt,99,5742.759192765284,45942.07354212227,0.0
decrypt,99,45942.07354212227,45942.07354212227,0.0
encrypt,99,7427.9154568168005,59423.323654534404,0.0
decrypt,99,59423.323654534404,59423.323654534404,0.0
