encrypt,354,2707.980970696433,21663.847765571463,0.0
decrypt,354,21663.847765571463,21663.847765571463,0.0
encrypt,354,10742.018589154202,85936.14871323362,0.0
decrypt,354,85936.14871323362,85936.14871323362,0.0
encrypt,354,13193.595515668327,105548.76412534661,0.0
decrypt,354,105548.76412534661,105548.76412534661,0.0
encrypt,354,11149.746768463223,89197.97414770578,0.0
decrypt,354,89197.97414770578,89197.97414770578,0.0
encrypt,354,15667.252344555629,125338.01875644503,0.0
decrypt,354,125338.01875644503,125338.01875644503,0.0
