encrypt,99,290.0,143.37752257544264,1147.0201806035411
decrypt,112,284.0,291.5494394962026,2332.3955159696206
encrypt,112,223.0,500.3091195631587,4002.4729565052694
decrypt,112,215.0,519.8829706298615,4159.063765038892
encrypt,112,204.0,548.8848081917137,4391.078465533709
decrypt,112,201.0,554.8886432625867,4439.109146100694
encrypt,112,189.0,589.6120878901047,4716.896703120838
decrypt,112,191.0,584.4794610264398,4675.835688211519
encrypt,112,208.0,537.9176726607666,4303.341381286133
decrypt,112,217.0,515.2877122743834,4122.301698195067
