encrypt,99,283.0,144.91277129427303,1159.3021703541842
decrypt,112,265.0,306.03492678251,2448.27941426008
encrypt,112,233.0,479.56373402025133,3836.5098721620107
decrypt,112,209.0,535.5003246470718,4284.002597176574
encrypt,112,231.0,483.00157881141075,3864.012630491286
decrypt,112,210.0,531.4487149617523,4251.589719694019
encrypt,112,203.0,549.0963198289957,4392.770558631965
decrypt,112,211.0,530.1162847936143,4240.930278348915
encrypt,112,197.0,565.7568589179193,4526.0548713433545
decrypt,112,207.0,539.0557956439478,4312.4463651515825
